Team,Match,Winning,Drawing,Losing
Semen Padang FC,Semen Padang FC vs PSS Sleman,33,0,0
Semen Padang FC,Semen Padang FC vs Borneo FC Samarinda,0,0,32
Semen Padang FC,Bali United FC vs Semen Padang FC,0,9,7
Semen Padang FC,Malut United FC vs Semen Padang FC,0,19,26
Semen Padang FC,PERSIB Bandung vs Semen Padang FC,0,12,5
Semen Padang FC,PSBS Biak vs Semen Padang FC,5,13,13
Semen Padang FC,PERSITA Tangerang vs Semen Padang FC,0,21,21
Semen Padang FC,Semen Padang FC vs Dewa United FC,0,0,46
Semen Padang FC,Semen Padang FC vs PERSIS Solo,0,54,0
Semen Padang FC,Semen Padang FC vs PS Barito Putera,0,20,73
Semen Padang FC,Semen Padang FC vs PSM Makassar,1,13,0
PSS Sleman,PSS Sleman vs Borneo FC Samarinda,0,7,58
PSS Sleman,Bali United FC vs PSS Sleman,0,41,0
PSS Sleman,PERSEBAYA Surabaya vs PSS Sleman,0,28,8
PSS Sleman,PERSIS Solo vs PSS Sleman,16,15,0
PSS Sleman,PS Barito Putera vs PSS Sleman,19,1,0
PSS Sleman,PSS Sleman vs AREMA FC,18,0,0
PSS Sleman,PSS Sleman vs PERSITA Tangerang,11,60,0
PSS Sleman,PSS Sleman vs Malut United FC,0,20,28
PSS Sleman,PSS Sleman vs PERSIK Kediri,0,6,30
PSS Sleman,PSS Sleman vs PSBS Biak,0,23,35
PSS Sleman,Semen Padang FC vs PSS Sleman,0,1,103
PSM Makassar,PSM Makassar vs Madura United FC,13,14,0
PSM Makassar,PERSEBAYA Surabaya vs PSM Makassar,15,21,0
PSM Makassar,PERSIJA Jakarta vs PSM Makassar,20,3,0
PSM Makassar,PSBS Biak vs PSM Makassar,28,37,0
PSM Makassar,PSM Makassar vs AREMA FC,0,31,33
PSM Makassar,PSM Makassar vs Dewa United FC,35,17,0
PSM Makassar,PSM Makassar vs PERSIS Solo,62,13,0
PSM Makassar,PSM Makassar vs PERSIB Bandung,0,35,0
PSM Makassar,PSM Makassar vs PERSIK Kediri,0,37,20
PSM Makassar,PSM Makassar vs PSIS Semarang,0,63,0
PSM Makassar,Semen Padang FC vs PSM Makassar,0,52,3
PSIS Semarang,Dewa United FC vs PSIS Semarang,0,12,33
PSIS Semarang,Madura United FC vs PSIS Semarang,0,5,21
PSIS Semarang,PERSIB Bandung vs PSIS Semarang,0,2,26
PSIS Semarang,PERSIK Kediri vs PSIS Semarang,1,27,0
PSIS Semarang,PERSIS Solo vs PSIS Semarang,6,12,0
PSIS Semarang,PSIS Semarang vs AREMA FC,13,22,0
PSIS Semarang,PSIS Semarang vs PERSEBAYA Surabaya,0,14,26
PSIS Semarang,PSIS Semarang vs PERSIJA Jakarta,0,6,11
PSIS Semarang,PSIS Semarang vs PERSITA Tangerang,0,69,4
PSIS Semarang,PSIS Semarang vs PSBS Biak,9,30,0
PSIS Semarang,PSM Makassar vs PSIS Semarang,0,22,0
PSBS Biak,PSBS Biak vs PERSEBAYA Surabaya,0,8,77
PSBS Biak,Borneo FC Samarinda vs PSBS Biak,0,0,41
PSBS Biak,PERSIB Bandung vs PSBS Biak,0,16,26
PSBS Biak,PERSIK Kediri vs PSBS Biak,25,23,0
PSBS Biak,PSBS Biak vs Bali United FC,49,30,0
PSBS Biak,PSBS Biak vs Madura United FC,36,34,0
PSBS Biak,PSBS Biak vs PERSIJA Jakarta,11,34,0
PSBS Biak,PSBS Biak vs PSM Makassar,0,23,13
PSBS Biak,PSBS Biak vs Semen Padang FC,8,41,15
PSBS Biak,PSIS Semarang vs PSBS Biak,0,55,10
PSBS Biak,PSS Sleman vs PSBS Biak,35,35,0
PS Barito Putera,PS Barito Putera vs Borneo FC Samarinda,0,9,29
PS Barito Putera,Bali United FC vs PS Barito Putera,0,16,24
PS Barito Putera,Malut United FC vs PS Barito Putera,0,24,0
