team,game,game_week,total_ck_for,xg,shots_from_ck
AREMA FC,AREMA FC - Dewa United FC,1,10,0.57208786068218,5
AREMA FC,AREMA FC - Borneo FC Samarinda,2,5,0.316733603288856,3
AREMA FC,PERSIB Bandung - AREMA FC,3,5,0.0738511385010874,2
AREMA FC,Bali United FC - AREMA FC,4,3,0,0
AREMA FC,PSM Makassar - AREMA FC,5,0,0,0
AREMA FC,PSS Sleman - AREMA FC,6,9,0.182289392100473,3
AREMA FC,PSIS Semarang - AREMA FC,7,4,0,0
AREMA FC,AREMA FC - Malut United FC,8,5,0,0
AREMA FC,AREMA FC - PERSIJA Jakarta,9,4,0,0
AREMA FC,PS Barito Putera - AREMA FC,10,8,0.42123312445022,3
AREMA FC,Madura United FC - AREMA FC,11,3,0,0
AREMA FC,AREMA FC - PERSITA Tangerang,12,8,0.188280068960241,2
AREMA FC,PERSEBAYA Surabaya - AREMA FC,13,5,0.150217404999355,1
AREMA FC,AREMA FC - PERSIS Solo,14,1,0,0
AREMA FC,PERSIK Kediri - AREMA FC,15,3,0.0132568641799334,1
AREMA FC,AREMA FC - PSBS Biak,16,4,0,0
AREMA FC,Semen Padang FC - AREMA FC,17,1,0,0
Bali United FC,PERSIK Kediri - Bali United FC,1,5,0.157472109512492,2
Bali United FC,Bali United FC - Semen Padang FC,2,6,0,0
Bali United FC,Borneo FC Samarinda - Bali United FC,3,4,0.0594653171311025,2
Bali United FC,Bali United FC - AREMA FC,4,5,0.0709985793184401,1
Bali United FC,Bali United FC - PSS Sleman,5,14,0.216437621378863,6
Bali United FC,Malut United FC - Bali United FC,6,3,0.084777284125642,1
Bali United FC,Bali United FC - PS Barito Putera,7,7,0.543601044662934,5
Bali United FC,PERSITA Tangerang - Bali United FC,8,6,0.00534472029187183,1
Bali United FC,Bali United FC - PERSIS Solo,9,8,0.101321857314813,2
Bali United FC,PSBS Biak - Bali United FC,10,4,0.0150682325313346,1
Bali United FC,Dewa United FC - Bali United FC,11,3,0.0363255190682734,1
Bali United FC,Bali United FC - PSM Makassar,13,7,0.0182320401937446,1
Bali United FC,PSIS Semarang - Bali United FC,14,9,0,0
Bali United FC,Bali United FC - PERSIJA Jakarta,15,7,0.0750351416147536,2
Bali United FC,Madura United FC - Bali United FC,16,5,0.131516996471534,1
Bali United FC,Bali United FC - PERSEBAYA Surabaya,17,7,0.0448449786272269,1
Borneo FC Samarinda,Semen Padang FC - Borneo FC Samarinda,1,6,0,0
Borneo FC Samarinda,AREMA FC - Borneo FC Samarinda,2,4,0.348053790564251,1
Borneo FC Samarinda,Borneo FC Samarinda - Bali United FC,3,5,0.250862270248745,2
Borneo FC Samarinda,PSS Sleman - Borneo FC Samarinda,4,4,0,0
Borneo FC Samarinda,Borneo FC Samarinda - Malut United FC,5,6,0.058469797094678,1
Borneo FC Samarinda,PS Barito Putera - Borneo FC Samarinda,6,2,0,0
Borneo FC Samarinda,Borneo FC Samarinda - PERSITA Tangerang,7,10,0.937642916681856,5
Borneo FC Samarinda,PERSIS Solo - Borneo FC Samarinda,8,8,0.520751255291027,4
Borneo FC Samarinda,Borneo FC Samarinda - PSBS Biak,9,4,0,0
Borneo FC Samarinda,Borneo FC Samarinda - Dewa United FC,10,5,0.107854847068407,2
Borneo FC Samarinda,PERSIB Bandung - Borneo FC Samarinda,11,9,0,0
Borneo FC Samarinda,PSM Makassar - Borneo FC Samarinda,12,6,0.123629414034911,1
Borneo FC Samarinda,Borneo FC Samarinda - PSIS Semarang,13,12,0.109267045592567,2
Borneo FC Samarinda,PERSIJA Jakarta - Borneo FC Samarinda,14,7,0,0
Borneo FC Samarinda,Borneo FC Samarinda - Madura United FC,15,1,0,0
Borneo FC Samarinda,PERSEBAYA Surabaya - Borneo FC Samarinda,16,4,0.159147602009193,2
Borneo FC Samarinda,Borneo FC Samarinda - PERSIK Kediri,17,7,0.153844827973498,3
Dewa United FC,AREMA FC - Dewa United FC,1,4,0,0
Dewa United FC,Dewa United FC - PERSIB Bandung,2,6,0.0620380098070407,1
Dewa United FC,PSM Makassar - Dewa United FC,3,8,0.113660159491471,4
Dewa United FC,Dewa United FC - PSIS Semarang,4,5,0.00392115042727215,1
Dewa United FC,PERSIJA Jakarta - Dewa United FC,5,5,0.0103248888171501,1
Dewa United FC,Dewa United FC - Madura United FC,6,1,0,0
